1264.0083,653.3051,1341.6325,735.0533
1264.3710,654.8320,1341.9786,735.8868
1266.3795,657.3318,1344.7064,737.3641
1267.9792,658.9640,1345.6414,739.4379
1269.1532,659.1678,1348.3651,738.4771
1270.0297,660.0535,1349.3900,739.8691
1271.3979,661.0132,1352.6265,740.1885
1272.0101,661.8939,1353.8751,741.1017
1273.1931,662.3622,1355.2424,742.4113
1274.4232,663.2038,1357.0785,744.0587
1276.0175,662.9943,1357.7091,744.6133
1278.4720,663.8777,1360.3209,745.7302
1279.5967,664.7884,1361.5859,746.9518
1281.7445,665.3973,1362.9283,749.1554
1283.2679,666.3104,1365.4596,749.8962
1284.2651,667.0864,1366.0518,751.9598
1285.3723,659.2199,1367.1267,746.0245
1286.5936,655.9743,1368.8683,743.3397
1287.2172,654.2073,1371.2318,741.8765
1289.0936,662.2888,1374.2921,750.7324
1288.6198,661.3350,1374.9525,748.9021
1289.1393,663.4916,1377.1342,750.4835
1290.5383,665.7113,1378.9417,753.0431
1290.8450,666.3093,1380.0144,754.1605
1292.3170,667.7554,1382.6627,755.3223
1294.7203,668.9673,1385.3109,758.0376
1296.8652,668.9915,1387.5615,759.3779
1298.7167,669.6508,1389.9698,761.0006
1301.9763,669.5336,1395.2317,765.3656
1303.6395,670.2719,1397.6791,767.0615
1304.7673,670.4066,1400.3362,768.9269
1305.9769,670.8533,1403.2687,771.3057
1307.3435,671.3363,1405.6318,772.9666
1308.9445,672.1685,1408.2382,774.9857
1310.6260,672.8295,1410.7629,776.6658
1312.9709,674.3429,1412.6021,777.7972
1314.5692,674.9478,1415.2675,779.6534
1316.0356,675.3672,1418.2444,781.7844
1317.1829,675.8109,1420.9475,783.9866
1318.2911,676.0302,1423.9635,786.3297
1319.3788,676.2932,1426.7733,788.5239
1321.0332,677.1154,1429.3677,790.4652
1322.6057,677.9478,1431.9873,792.5281
1323.9866,678.6096,1434.4573,794.4638
1325.3525,679.2849,1436.9329,796.4343
1327.6594,680.9930,1438.6807,797.7054
1329.3573,681.8034,1441.3199,799.6367
1331.0657,682.8162,1443.6863,801.4758
1332.0850,683.2296,1446.5527,803.9501
1333.2603,683.7684,1449.1978,806.1581
1334.6381,684.5017,1451.9156,808.4260
1336.2544,685.4385,1454.3152,810.3193
1338.3600,671.3396,1457.7111,797.9463
1341.3286,666.6332,1462.2344,795.1534
1342.7749,679.2399,1467.8770,806.1290
1340.6643,683.5942,1467.4556,812.4832
1341.3367,670.6102,1469.4646,801.3629
1341.0515,682.3257,1470.5979,814.0046
1344.0145,674.1340,1472.1456,808.9470
1344.3240,684.8537,1473.9377,820.7328
1345.1711,685.4523,1473.9392,824.1398
1346.3475,683.7879,1475.0289,824.1462
1347.8257,684.8423,1477.3262,826.9892
1351.1643,686.6445,1482.3010,829.6282
1356.7880,673.1158,1487.4027,819.8641
1355.3591,682.2308,1487.5964,830.5344
1356.6077,673.2347,1490.4377,823.2941
1357.9052,683.6930,1493.0153,836.4835
1359.6549,689.1016,1496.1019,844.6252
1360.4071,692.3021,1498.9415,849.3615
1362.1230,696.2057,1499.6611,855.8861
1364.7588,697.7250,1504.6228,857.4902
1366.5911,700.1667,1507.9731,862.0103
1368.1987,702.5090,1511.2786,866.6345
1370.3357,705.1414,1514.7312,871.1155
1372.3898,708.0181,1518.0245,875.7544
1374.7915,711.0369,1521.1584,879.9603
1376.8430,713.9895,1524.4739,884.7034
1379.0712,716.7200,1527.9884,889.2491
1383.5610,697.3933,1531.4094,872.9316
1384.5870,698.4030,1532.7025,875.1261
1387.2661,697.7330,1535.2671,875.9904
1388.6836,684.3167,1539.4180,863.3774
1391.6171,681.3959,1543.4745,862.2235
1397.9028,697.3739,1550.9868,880.3029
1400.9873,687.1838,1556.2681,873.6043
1398.8489,701.4945,1564.4114,898.7147
1401.4282,702.5305,1569.6184,902.9783
1403.8434,703.4888,1574.8441,907.3815
1406.2589,704.3118,1580.4071,912.0491
1409.4454,706.2726,1585.5106,916.3937
1411.6757,706.9137,1591.1722,921.2169
1414.1094,707.7505,1596.9922,926.1818
1416.6714,708.8747,1602.6760,931.1207
1419.5576,710.4043,1608.1326,935.8098
1422.5254,712.0334,1613.7080,940.6426
1427.6577,716.0016,1617.6582,943.3151
1432.3058,719.3495,1622.2308,946.6815
1436.5424,722.1865,1627.8451,951.2619
